"co_ano","co_mes","produtos","pais_origem","co_via","kg_liquido","vlr"
1997,1,"Fertilizantes","Outros","01",91995387,40108039
1997,1,"Fertilizantes","Outros","04",164720,2922984
1997,1,"Fertilizantes","Outros","05",3,588
1997,1,"Fertilizantes","Outros","07",1481719,1685028
1997,1,"Fertilizantes","Russia","01",3675000,433125
1997,1,"OutrosProd","Outros","01",1177236908,1603267464
1997,1,"OutrosProd","Outros","02",999011,449555
1997,1,"OutrosProd","Outros","04",10180996,579426618
1997,1,"OutrosProd","Outros","05",1274,155376
1997,1,"OutrosProd","Outros","06",14442615,5003375
1997,1,"OutrosProd","Outros","07",185083096,234157738
1997,1,"OutrosProd","Outros","08",0,84574269
1997,1,"OutrosProd","Outros","09",689298,11508952
1997,1,"OutrosProd","Russia","01",36574096,13947618
1997,1,"OutrosProd","Russia","04",1403,34803
1997,1,"OutrosProd","Ucrania","01",44818,118644
1997,1,"OutrosProd","Ucrania","04",750,17500
1997,1,"OutrosProd","Ucrania","07",16237,58105
1997,1,"Petroleo","Outros","01",46988649,8475098
1997,1,"Petroleo","Outros","02",10282,2294426
1997,1,"Petroleo","Outros","04",1924,11958
1997,1,"Petroleo","Outros","07",41540,8516
1997,2,"Fertilizantes","Outros","01",142887254,60503674
1997,2,"Fertilizantes","Outros","04",204993,5139252
1997,2,"Fertilizantes","Outros","05",10,1145
1997,2,"Fertilizantes","Outros","07",1926150,2806006
1997,2,"Fertilizantes","Russia","01",6133448,1210077
1997,2,"OutrosProd","Outros","01",3885163740,2731731524
1997,2,"OutrosProd","Outros","02",2103993,347161
1997,2,"OutrosProd","Outros","03",25000000,3150000
1997,2,"OutrosProd","Outros","04",15690484,843258821
1997,2,"OutrosProd","Outros","05",6660,535353
1997,2,"OutrosProd","Outros","06",20551453,7840980
1997,2,"OutrosProd","Outros","07",311255571,327920920
1997,2,"OutrosProd","Outros","08",0,84464267
1997,2,"OutrosProd","Outros","09",588600,2155213
1997,2,"OutrosProd","Russia","01",19617128,9473017
1997,2,"OutrosProd","Russia","04",837,58605
1997,2,"OutrosProd","Russia","09",690,46000
1997,2,"OutrosProd","Ucrania","01",84841,252975
1997,2,"Petroleo","Outros","01",890798507,235316609
1997,2,"Petroleo","Outros","02",9861,1942205
1997,2,"Petroleo","Outros","04",3754,276059
1997,2,"Petroleo","Outros","07",1253920,372828
1997,3,"Fertilizantes","Outros","01",174928912,71393713
1997,3,"Fertilizantes","Outros","04",308925,7950976
1997,3,"Fertilizantes","Outros","05",8,523
1997,3,"Fertilizantes","Outros","07",1933968,2283063
1997,3,"Fertilizantes","Russia","01",21088512,3776300
1997,3,"Fertilizantes","Ucrania","01",450000,107100
1997,3,"OutrosProd","Outros","01",5165658823,2933516138
1997,3,"OutrosProd","Outros","02",8400000,1312127
1997,3,"OutrosProd","Outros","03",15000000,1890000
1997,3,"OutrosProd","Outros","04",26228743,1015441955
1997,3,"OutrosProd","Outros","05",9589,771827
1997,3,"OutrosProd","Outros","06",22812300,7723875
1997,3,"OutrosProd","Outros","07",335885554,358238774
1997,3,"OutrosProd","Outros","08",0,84237872
1997,3,"OutrosProd","Outros","09",817656,18887249
1997,3,"OutrosProd","Russia","01",44383676,20173860
1997,3,"OutrosProd","Russia","04",4383,134116
1997,3,"OutrosProd","Ucrania","01",27316,83480
1997,3,"OutrosProd","Ucrania","04",1128,27835
1997,3,"Petroleo","Outros","01",1156852191,260563893
1997,3,"Petroleo","Outros","04",10976,62526
1997,3,"Petroleo","Outros","07",1487320,353033
1997,3,"Petroleo","Outros","09",6,134
1997,4,"Fertilizantes","Outros","01",492064186,122201799
1997,4,"Fertilizantes","Outros","04",251068,5154080
1997,4,"Fertilizantes","Outros","05",48,2876
1997,4,"Fertilizantes","Outros","07",1855547,2268635
1997,4,"Fertilizantes","Russia","01",76470192,12807603
1997,4,"Fertilizantes","Ucrania","01",9072900,1962389
1997,4,"OutrosProd","Outros","01",5998717500,3337945620
1997,4,"OutrosProd","Outros","04",19807960,1206537856
1997,4,"OutrosProd","Outros","05",6868,725023
1997,4,"OutrosProd","Outros","06",17095474,5520042
1997,4,"OutrosProd","Outros","07",572602823,442468167
1997,4,"OutrosProd","Outros","08",0,89263864
1997,4,"OutrosProd","Outros","09",2489502,15777564
1997,4,"OutrosProd","Russia","01",25930497,19133168
1997,4,"OutrosProd","Russia","04",3437,1729775
1997,4,"OutrosProd","Ucrania","01",7281,240600
1997,4,"OutrosProd","Ucrania","04",20,354
1997,4,"Petroleo","Outros","01",1584724838,325795733
1997,4,"Petroleo","Outros","04",12813,108168
1997,4,"Petroleo","Outros","07",1844177,461632
1997,5,"Fertilizantes","Outros","01",243440916,77645989
1997,5,"Fertilizantes","Outros","04",248690,6158206
1997,5,"Fertilizantes","Outros","05",16,1476
1997,5,"Fertilizantes","Outros","06",350000,67333
1997,5,"Fertilizantes","Outros","07",3062692,2674685
1997,5,"Fertilizantes","Russia","01",53026113,9118953
