"co_mes","co_ano","exp_kg_liquido_total","exp_vlr_total","exp_kg_liquido_russia","exp_vlr_russia","exp_kg_liquido_ucrania","exp_vlr_ucrania","pet_kg_liquido_total","pet_vlr_total","pet_kg_liquido_russia","pet_vlr_russia","pet_kg_liquido_ucrania","pet_vlr_ucrania","fert_kg_liquido_total","fert_vlr_total","fert_kg_liquido_russia","fert_vlr_russia","fert_kg_liquido_ucrania","fert_vlr_ucrania"
1,1997,481607924,113565849,15725,18879,0,0,47030189,8483614,0,0,0,0,97152106,42226192,3675000,433125,0,0
1,1998,321993508,91092128,0,0,0,0,1182928142,246580921,0,0,0,0,504431433,112690482,117829262,16055567,81635095,11399015
1,1999,155485763,67426735,60000,21000,0,0,1487762374,165385548,0,0,0,0,456824161,108008274,68729129,9871089,33133773,4761353
1,2000,269878558,89474213,0,0,0,0,1322051349,267709173,0,0,0,0,717556110,117582758,201127141,24990783,81467041,6744188
1,2001,443775833,114024856,83076,121308,0,0,1783513142,406520124,0,0,0,0,629428239,131961299,243938635,32550093,10707694,1524843
1,2002,692748729,124076490,148000,110160,0,0,976730118,137824431,0,0,0,0,545236389,104048723,152125415,17055555,0,0
1,2003,554008232,118238788,612000,279240,0,0,932989800,203753146,10467350,2533570,100,161,621599423,114290402,156268786,19083951,55917467,6051112
1,2004,1153121621,236813142,409554,361454,88000,104950,688334846,168908508,0,0,0,0,1362689321,249669088,290889806,42219861,106296107,16025124
1,2005,765203280,185686690,634411,845808,242750,177420,609507121,191080213,0,0,0,0,956602274,244576483,180781794,33508104,99684200,20598175
1,2006,881560727,196192382,907307,820179,294221,335646,871030291,376523425,3449991,2740576,0,0,801871425,215929633,246442131,53727772,22330176,5192834
1,2007,1129426367,273296901,1562905,2587657,297205,485240,757978913,340079028,0,0,0,0,1189639197,309477182,440657523,97385179,76933153,18282341
1,2008,1073764258,446076528,1112914,3177458,411667,1159888,815489537,482820123,0,0,0,0,1587347998,656686447,341611228,124482226,183431810,66399678
1,2009,1857584759,504820713,2417618,2946136,124116,720346,885902420,320280149,0,0,0,0,323741759,297909320,103464949,27684369,11550000,7690771
1,2010,1533713951,476694109,1658382,2761922,201147,712810,1213742867,680592411,0,0,0,0,913033839,375524795,256027017,53642712,24086637,5662001
1,2011,1866437043,649687688,1049469,3659421,191136,391377,1287495898,782370262,30044492,24850328,0,0,1541117993,681201535,340483228,107597598,160755804,57736302
1,2012,1676437537,730187700,1835382,5132448,175886,715553,1397867925,1081119814,0,0,0,0,1358065304,801400050,272128809,123337634,63697504,30057728
1,2013,4320987928,1469763300,1568263,3302400,666648,2801912,2639589115,2333902511,0,0,0,0,1139704535,688749269,226090200,92995825,26743000,9928677
1,2014,3350526745,985635772,780229,1270801,470190,1781835,2458254079,1777109328,69085036,63995742,0,0,1468503143,659683763,254775636,82682410,0,0
1,2015,4241657743,1055592121,992185,2640855,192460,497924,1879888464,1191395868,0,0,0,0,1301514326,618329734,303873466,108135544,0,0
1,2016,4996304550,1036368674,2767486,3275730,478182,578653,519542851,140656604,0,0,0,0,1097648153,435050873,130882509,37422796,0,0
1,2017,2224634478,606363653,1543241,2561819,105265,272881,2383506608,992369274,0,0,0,0,2776143647,790947597,509595068,112008790,0,0
1,2018,3783329851,901819115,8925858,10491858,751581,1475678,2621872563,1425243202,113079275,64317807,0,0,1652833749,593546849,460150897,123842492,0,0
1,2019,4845345977,1098573998,7854072,9230038,790827,1287645,2066210114,1075346730,352731,300332,0,0,2285934449,865911402,605931250,186630874,0,0
1,2020,2732299251,724303765,2855800,3898079,651212,1534710,2352975742,1213195001,1913062,1080581,0,0,2041312511,706693654,428533586,111893408,0,0
1,2021,3354518894,921764340,4642014,6263498,1111354,1962055,2347517527,956202822,21982647,9904526,0,0,2785493833,837905390,715054151,174188647,0,0
1,2022,4024080144,1372114533,11935530,14953755,1535554,2397176,2262374649,1558284060,6378142,7025853,0,0,2357339386,1355297549,588992661,345211265,0,0
2,1997,349906348,102496322,10103040,1399570,0,0,892052427,235689437,0,0,0,0,150946852,64519757,6133448,1210077,0,0
2,1998,203613517,87483326,55696,96137,0,0,1022581653,166211983,0,0,0,0,295581925,93917241,40308352,4584064,26432667,5634007
2,1999,128322087,72441329,0,0,0,0,764450498,73437449,0,0,0,0,498369895,107190974,145732059,18264736,17229101,2041519
2,2000,322251233,97335286,0,0,0,0,1109016637,253790016,0,0,0,0,623502343,118113318,154514430,17238191,31982559,2605524
2,2001,710188718,139266298,15876,26250,0,0,1270580535,272263133,0,0,0,0,418730390,79939190,103127351,13862792,8213419,1014235
2,2002,824388890,147497109,267876,145259,0,0,1190998811,156237252,0,0,0,0,366281866,78929706,83394900,11480884,23791214,2619589
2,2003,404470571,93062625,436601,234194,206400,107712,983070964,195879309,839300,184411,0,0,707329845,119883900,125099219,15142796,58505646,6881596
2,2004,1390839694,250226750,428551,676371,193000,137520,488734645,119459985,4196500,1035000,0,0,1184907722,201920766,248153454,35366560,123989189,17358691
